ID;nomArch;coteArch;dateEntree;nature;modeEntree;servProd;typeProd;activiteProd;descContenu;natureSupport;mlEntree;nbreArt
57;Archives municipales d'Avignon;11Fi;23/10/2003;Archives privées;Achat;;;Photographie de la Fontaine de Vaucluse;Cliché de Florent Miesienski (34x43);;0;1
59;Archives municipales d'Avignon;104Fi et 39Z;09/02/2004;Archives privées;Achat;;;Fonds de l'architecte Louis Valentin;Plans, pièces écrites d'architecture.;;3;0
65;Archives municipales d'Avignon;10Fi21-32;09/01/2003;Archives privées;Achat;;;Fonds Falanga;Photographies;;0,05;12
92;Archives municipales d'Avignon;Fi;30/06/2004;Archives privées;Achat;;;Fonds Sainte-Anne;2 tableaux collage des détenus de la prison Sainte-Anne;;0,2;2
100;Archives municipales d'Avignon;64 Z;29/10/2003;Archives privées;Achat;;;Fonds Mathon, professeur à l'Ecole Normale d'Avignon.;Correspondance, photographie de Henri Fabre, plâtre du même par Félix Charpentier.;;1;50
107;Archives municipales d'Avignon;Fi;16/11/2004;Archives privées;Achat;;;Photographies;Photographies de la libération de Paris et famille Santoni (Avignon et Corse).;;0,05;100
108;Archives municipales d'Avignon;8Fi;15/11/2004;Archives privées;Achat;;;Albums de photographies;Deux albums de portraits en cartes de visite. Un album du languedoc et de l'Afrique du Nord;;0,3;3
109;Archives municipales d'Avignon;Fi;15/11/2004;Archives privées;Achat;;;Photographies;Tirages positifs divers;;0,05;6
114;Archives municipales d'Avignon;106 Fi;10/12/2004;Archives publiques;Achat;;;Fonds Henri Revoil, architecte;"plans, esquisses aquarellées de monuments religieux : églises, chapelles Midi de la France. A noter :  portrait d'Henri Revoil jeune, ""fait dans l'atelier de David par Mr Ingre"" (photo).";;0,1;96
168;Archives municipales d'Avignon;64Fi;05/12/2005;Archives privées;Achat;;;10 photographies de Jaydie Putterman;10 tirages noir et blanc avec fichiers numériques de jaydie Putterman portant sur les inondations du 26 novembre 2002;;0,05;10
169;Archives municipales d'Avignon;2Fi97-99;12/12/2005;Archives privées;Achat;;;Gravures de Charles Mazelin;Trois gravures de Charles Mazelin de petit format et représentant : une vue générale d'Avignon, les remparts d'Avignon, le beffroi de l'hôtel de ville.;;0,05;3
186;Archives municipales d'Avignon;11Fi135;17/03/2006;Archives privées;Achat;;;Photographie de Jean-Baptiste Michel;Portrait de groupe : Paul Saïn, Bourges, Guilbert d'Annelle, Pellegrin et le photographe.;;0,01;1
214;Archives municipales d'Avignon;8Fi;09/10/2006;Archives privées;Achat;;;Album photographique privé;Album à fermoir avec chiffre de la famille provenant d'Angleterre et comportant des portraits et des vues de Paris et d'Angleterre;;0,07;1
215;Archives municipales d'Avignon;8Fi;09/10/2006;Archives privées;Achat;;;Album photographique sur la côte d'Azur;Album photographique constitué lors d'un voyage de noces, en 1900 et comportant essentiellement des clichés Neurdein.;;0,05;1
216;Archives municipales d'Avignon;6Fi;29/11/2006;Archives privées;Achat;;;Cartes de visite photographiques;Cartes de visite photographiques (format 11x16,5);;0,01;2
217;Archives municipales d'Avignon;7Fi;29/11/2006;Archives privées;Achat;;;Deux clichés positifs;Une vue d'une salle d'un musée archéologique et un portrait collectif.;;0,01;2
219;Archives municipales d'Avignon;11Fi;29/11/2006;Archives privées;Achat;;;Photographie d'Edouard Baldus;Panorama d'Avignon;;0,01;1
220;Archives municipales d'Avignon;2Fi76-96;20/10/2006;Archives privées;Achat;;;Dessins et vues d'Avignon par Martine Lambert-Thomas;21 tirages numériques signés de dessins représentant des lieux de la ville réalisés entre 2000 et 2005. Correspondant aux 21 tirages, 21 fichiers numériques ont été également fournis.;;0,05;21
223;Archives municipales d'Avignon;6Fi;04/12/2006;Archives privées;Achat;;;24 photographies des bombardements 1944;24 photographies des bombardements 1944;;0,01;24
224;Archives municipales d'Avignon;;13/06/2006;Archives privées;Achat;;;Film vidéo numérique sur le tour des remparts;Film sur DVD du tour des remparts, côté murailles et côté extérieur.;;0,1;2
225;Archives municipales d'Avignon;;05/10/2006;Archives privées;Achat;;;Film vidéo numérique sur la RN7 du Pontet à Bonpas;Film sur DVD sur la RN7 du Pontet à Bonpas droite et gauche.;;0,1;2
226;Archives municipales d'Avignon;Bibliothèque;04/12/2006;Archives privées;Achat;;;4 DVD de Jacques Malaterre;6 films de Jacques Malaterre, réalisateur :;;0,4;4
227;Archives municipales d'Avignon;Bibliothèque;04/12/2006;Archives privées;Achat;;;Films de Jean-Jacques Florio pour le 20ème annivesaire des Carnets du Ventoux;"1 DVD comportant deux films de Jean-Jacques Florio : Paroles de Ventoux ; Avoir 20 ans dans le Ventoux, réalisés en 2006.";;0,05;1
234;Archives municipales d'Avignon;1Fi17;19/10/2006;Archives privées;Achat;;;Gravure de Saint-Bénézet;Gravure du XVIIème siècle (probable retirage du XIXème) retraçant la légende de Saint-Bénézet et la construction du pont d'Avignon au XIIème siècle.;;0,02;1
235;Archives municipales d'Avignon;114Fi;19/10/2006;Archives privées;Achat;;;450 photographies d'architecture;Lot de 450 photographies de l'architecte André MATHIEU (Cavaillon) pour les années 1950-1960.;;0,4;450
236;Archives municipales d'Avignon;8Fi;19/10/2006;Archives privées;Achat;;;Album photographique;Album photographique relié contenant 44 tirages collés (formats variés autour de 18x24) de paysages de Suisse, d'Allemagne et des Alpes françaises.;;0,1;44
237;Archives municipales d'Avignon;107Fi;21/12/2006;Archives privées;Achat;;;62 cartes de visite photographiques de petit format;Lot de 62 cartes de viste signées Cayol frères, Brion, Héraud, walery, Reutlingen etc...;;0,05;62
238;Archives municipales d'Avignon;9Fi;19/10/2006;Archives privées;Achat;;;96 cartes postales;Lot de 96 cartes postales de Fontaine-de-Vaucluse et d'Entraigues sur la Sorgue;;0,05;92
239;Archives municipales d'Avignon;6Fi;22/12/2006;Archives privées;Achat;;;16 photographies (tirages positifs) noir et blanc;14 portraits de diverses périodes et divers photographes (Gervig, Cayol, Brion, Ouvière) et deux vues de l'atelier de Cézanne.;;0,03;11
240;Archives municipales d'Avignon;10Fi;19/10/2006;;Achat;;;32 photographies (tirages positifs) noir et blanc;Lot de 32 photographies, montées sur planches, de l'église paroissiale de l'Isle Sur la Sorgue dite Notre-Dame des Anges et datant de 1928. Une photographie aérienne de la commune de l'Isles Sur la Sorgue (IGN, 1991).;;0,02;33
254;Archives municipales d'Avignon;8Fi;13/12/2006;Archives privées;Achat;;;Album photographique sur Menton et ses environs;Album composé de 21 planches carton supportant 26 photographies collées;;0,05;26
255;Archives municipales d'Avignon;8Fi;13/12/2006;Archives privées;Achat;;;Album photographique sur l'Irlande;Album relié composé de 35 planches carton supportant 70 photographies collées;;0,1;70
257;Archives municipales d'Avignon;29Fi;17/10/2006;Archives privées;Achat;;;Lot de clichés positifs stéréoscopiques;26 clichés sétréoscopiques montés sur carton. Vues de Rome et de sa région.;;0,05;26
271;Archives municipales d'Avignon;6Fi;17/10/2006;Archives privées;Achat;;;6 clichés positifs sur Avignon;Lot de 6 clichés positifs (format 13x18) sur Avignon;;0,02;6
272;Archives municipales d'Avignon;7Fi;17/10/2006;Archives privées;Achat;;;3 clichés positifs;Lot de 3 clichés positifs de format supérieur à 18x24, dont deux clichés évoquant la population gitane (?);;0,01;3
273;Archives municipales d'Avignon;10Fi;17/10/2006;Archives privées;Achat;;;6 clichés positifs montés sur carton;Lot de 6 clichés positifs de format supérieur à 18x24 et montés sur carton, dont plusieurs portraits individuel et colletifs.;;0,01;6
274;Archives municipales d'Avignon;6Fi;17/10/2006;Archives privées;Achat;;;23 clichés positifs;Lot de 23 clichés positifs ou cartes photographiques de format 9x13 environ et pour l'essentiel des portraits individuels ou collectifs;;0,01;23
277;Archives municipales d'Avignon;8Fi;28/02/2007;Archives privées;Achat;;;Album de gravures sur Avignon et le Vaucluse;Album composé de 30 pages comportant 50 dessins imprimés de A. Karl sur Avignon et sa région.;;0,01;30
279;Archives municipales d'Avignon;115Fi;27/02/2007;Archives privées;Achat;;;Lot de 17 photographies aériennes d'Avignon;17 clichés diapositives et négatifs de formats divers, datant des années 1971, 1973, 1976 et 1977 réalisés par la société Jean-Louis SCHMIDT.;;0,05;17
284;Archives municipales d'Avignon;53Fi;07/03/2007;;Achat;;;Carte du département de Vaucluse;"Carte faisant partie de la collection des ""Cartes Départementales""  de la maison Blondel à Paris. Carte au 1/200.000e donnant les axes routiers ainsi que les agglomérations. Non datée.";;0;1
333;Archives municipales d'Avignon;8Fi;05/12/2007;Archives privées;Achat;;;Album photographique sur l'Afrique du Nord;Album relié comportant environ 60 photographies sur l'Afrique du Nord (1907-ca 1930).;;0,1;1
334;Archives municipales d'Avignon;;05/12/2007;Archives privées;Achat;;;"Gravure ""La Mort du Maréchal Brune""";Lithographie anonyme imprimée chez Marlet, représentant l'assassinat du Maréchal Brune, place Crillon, dans l'h^tel dfu Palais Royal le 2 août 1815.;;0,01;1
336;Archives municipales d'Avignon;121Fi;11/12/2007;Archives privées;Achat;;;13 photomontages sur les remparts d'Avignon;Ensemble de 13 photomontages 50x70 sur le thème des Remparts d'Avignon réalisés par Olivier Huet, architecte plasticien, dont le dernier est une oeuvre de Margrit Neuebdorf. Les 13 photomontages sont accompagnés de fichiers numériques. Les planches sont regroupées dans un coffret bois.;;0,1;13
340;Archives municipales d'Avignon;Fi;09/11/2007;Archives privées;Achat;;;Lot de gravures et de photographies;Lot de 20 cartes de visite photographique petit format (107Fi), Lot de 12 portraits (6Fi),  carte postale (9Fi), Lot de gravure sur Notre-Dame des Doms;;0,1;0
359;Archives municipales d'Avignon;1Fi;15/04/2008;Archives privées;Achat;;;Lot de trois gravures (1837);"Elévation de la tour de Jacquemart ; elévation géométrale de la place de l'horloge ; plan d'alignement de la place de l'horloge";;0,05;3
360;Archives municipales d'Avignon;2Fi;15/04/2008;Archives privées;Achat;;;Lot de gravures sur Avignon;24 gravures d'Avignon;;0,05;20
361;Archives municipales d'Avignon;10Fi;15/04/2008;Archives privées;Achat;;;Lot de 3 photographies sur Avignon;"2 tirages montés de la porte de la République, de la place du Palais et du Palais des Papes ; 1 phototypie de Florent Miesienski du panorama d'Avignon depuis Villeneuve.";;0,05;3
362;Archives municipales d'Avignon;1Z8;04/04/2008;Archives privées;Achat;;;Registre manuscrit d'annales historiques avignonnaises;Registre manuscrit d'annales historiques avignonnaises depuis l'an 795 jusqu'à la période révolutionnaire. Tenu par plusieurs auteurs de 1720 à la fin du XIXème siècle, vers 1890. ;;0,1;1
384;Archives municipales d'Avignon;73Z;10/07/2008;Archives privées;Achat;;;Manuscrits Commin;4 volumes manuscrits de la main de Joseph-Ignace Commin;;0,4;4
399;Archives municipales d'Avignon;8Fi;28/10/2008;Archives privées;Achat;;;Atlas des Sorgues et du canal de Vaucluse (2);Deux atlas des sorgues ou canal de Vaucluse. Le premèire concerne la branche dite de Sorgues. L'autre la branche d'Avignon.;;0,1;2
400;Archives municipales d'Avignon;119Fi;23/10/2008;Archives privées;Achat;;;Photographies numériques d'Avignon (60);"60 photographies numériques d'Avignon réalisées par Christophe Raynaud de Lage pour servir d'illustrations à l'ouvrage ""Avignon au XXème siècle"" de Vincent Flauraud, Editions Benezet.";;0,01;35
406;Archives municipales d'Avignon;AV;21/11/2008;Archives privées;Achat;;;2 films documentaires sur Avignon;;;0,05;2
422;Archives municipales d'Avignon;2Fi122;16/03/2009;Archives privées;Achat;;;1 lithographie ;Portrait de Taxile Delord, publiciste et homme politique français, député de Vaucluse en 1871 (Avignon, 1815 - Paris, 1877).;;0,01;1
438;Archives municipales d'Avignon;Fi-Objets;18/08/2009;Archives privées;Achat;;;Peinture de Florent Miesienski;Petit tableau d'un panorama d'Avignon daté de 1884;;0,1;1
448;Archives municipales d'Avignon;1Z36;20/05/2009;Archives privées;Achat;;;Documents Familles Baroncelli et Aubanel;Lot de documents manuscrits et privés proevenat de la famille Aubanel.;;20;1
449;Archives municipales d'Avignon;1Z37;02/03/2009;Archives privées;Achat;;;Manuscrit Lescuyer;"Manuscrit ayant appartenu au citoyen Lescuyer intitulé ""Mémoire touchant la Pratique de la ville d'Avignon""";;0,1;1
450;Archives municipales d'Avignon;11Fi;17/04/2009;Archives privées;Achat;;;Photographie manoeuvre des pontonniers;;;0,01;1
451;Archives municipales d'Avignon;11Fi;10/10/2008;Archives privées;Achat;;;Photographie de la cité de Carcassonne;;;0,01;1
464;Archives municipales d'Avignon;122Fi;18/09/2009;Archives privées;Achat;;;Lot de 110 plaques stéréoscopiques;;;0,1;110
469;Archives municipales d'Avignon;Fi;17/04/2009;;Achat;;;Lot de photographies et cartes de visite;53 cartes de visite petit et grand formats, cartes postales et positifs noir et blanc.;;0,1;53
471;Archives municipales d'Avignon;Z;25/11/2009;Archives privées;Achat;;;Collection Le Courrier d'Avignon;Lot d'environ 200 numéros du Courrier d'Avignon, publication de la période révolutionnaire et de l'Empire.;;0,2;1
472;Archives municipales d'Avignon;13Fi135;25/11/2009;Archives privées;Achat;;;Affiche d'un spectacle du Chêne Noir;"Affiche original du spectacle ""Radio  Mon Amour"" (non datée).";;0;1
473;Archives municipales d'Avignon;Fi;25/11/2009;Archives privées;Achat;;;1 photographie de spectacle (1912);"Photographie d'un spectacle de théâtre de campagne ""Jeanne d'Arc"" (février 1912) (format 13x18 contrecollé).";;0,05;1
482;Archives municipales d'Avignon;Fi;29/12/2009;Archives privées;Achat;;;Photographies numériques d'architecture urbaine;Lot de 26 cartes postales noir et blanc, 26 fichiers numériques correspondant et 25 photographies numériques couleur de M. Thomas Chirouse réalisées dans le cadre d'une exposition sur l'architecture des trente glorieuses.;;0,1;77
487;Archives municipales d'Avignon;Z;23/11/2009;Archives privées;Achat;;;Lot de documents époque révolutionnaire;7 plaquettes (1791-1792);;0,05;7
488;Archives municipales d'Avignon;Fi;29/11/2009;Archives privées;Achat;;;Lot de cartes de visite et photographies;Portraits sur cartes de visite et photographies diverses époques;;0,1;50
489;Archives municipales d'Avignon;Fi;23/11/2009;Archives privées;Achat;;;Photographie;Grand portrait du photographe Henri Févrot.;;0,01;1
490;Archives municipales d'Avignon;Fi;23/11/2009;Archives privées;Achat;;;Photographie encadrée;Grande photographie encadrée, panorama de la ville d'Avignon.;;0,05;1
491;Archives municipales d'Avignon;Fi;23/11/2009;Archives privées;Achat;;;Gravure;Lithographie : église de Villeneuve-les-Avignon avec arbres au premier plan.;;0,01;1
492;Archives municipales d'Avignon;Fi;23/11/2009;Archives privées;Achat;;;Photographie encadrée;Portrait photographique d'un couple de vieillards dans son cadre d'origine.;;0,05;1
495;Archives municipales d'Avignon;1Z39 et 2Fi130;04/02/2010;Archives privées;Achat;;;Manuscrit sur les massacres de la glacière et Gravure;Copie manuscrite contemporaine des événements de la procédure de la Glacière. Une gravure d'époque révolutionnaire, insérée dans le volume a été classée en série 2Fi.;;0,1;0
498;Archives municipales d'Avignon;Fi;09/02/2010;Archives privées;Achat;;;"Gravure sur les ""Massacres de la Glacière""";Gravure sur bois d'époque révolutionnaire. Les personnages numérotés renvoient à une légende qui manque.;;0;1
499;Archives municipales d'Avignon;Fi;18/02/2010;Archives privées;Achat;;;Affiche publicitaire droguerie Dibon;"Affiche publicitaire droguerie Dibon représentant le ""crève-punaises"".";;0;1
504;Archives municipales d'Avignon;Fi;23/02/2010;Archives privées;Achat;;;Portrait de Guillaume Puy;Peinture à l'huile de BAZIN exécutée en 1815 au moment où l'ancien maire d'Avignon abandonne la vie publique en 1815.;;0,1;1
505;Archives municipales d'Avignon;Fi;23/02/2010;Archives privées;Achat;;;Peinture du pont de bois sur le Rhône;Peinture de C. Clément représentant le pont de bois sur le Rhône (branche de Villeneuve) en 1893.;;0,1;1
506;Archives municipales d'Avignon;Fi;19/02/2010;Archives privées;Achat;;;Photographie d'un groupe;Photographie fin XIXe d'un groupe pouvant rassembler des membres de la famille Tacussel à Fontaine de Vaucluse en compagnie d'un personnage anglais (Mr. Nebb (at) New (F)alcon).;;0,05;1
507;Archives municipales d'Avignon;Fi;19/02/2010;Archives privées;Achat;;;Gravure représentant Villeneuve-les-Avignon;Gravure allemande en couleur représentant le fort Saint-André et le village de Villeneuve-les-Avignonn, signée H.;;0,05;1
508;Archives municipales d'Avignon;Fi;19/02/2010;Archives privées;Achat;;;Plan imprimé d'Avignon 1901-1902;Plan de la ville imprimé par la maison ASSALEIX avec pliage dans un portefeuille publicitaire aux Elégants.;;0,05;1
509;Archives municipales d'Avignon;9Z7;08/04/2010;Archives privées;Achat;;;Livre de raison d'Ignace, Xavier, Salvador;Livre de raison et de comptes domestiques d'Ignace, Xavier, Salvador (197-1833), fils de Jean-Baptiste Salvador.;;0,05;1
516;Archives municipales d'Avignon;Fi;02/07/2010;Archives privées;Achat;;;Affiches, photographies et oeuvres imprimées;Lot d'affiches et posters imprimés, oeuvres de Joël Bard, affiches et cartes postales de la Société Protectrice de l'humour (1969-1976), séries de photographies d'Agnès Varda et Robert Alazraki.;;0,1;0
530;Archives municipales d'Avignon;104Fi et 39Z;26/04/2011;Archives privées;Achat;;;Fonds de l'architecte Louis Valentin;Série de plans d'immeubles et bâtiments avignonnais et pièces écrites pour un volume de 4 cartons;;2;500
531;Archives municipales d'Avignon;Fi;10/05/2011;Archives privées;Achat;;;Documents et Albums photographiques;Lot constitué de 4 albums et d'une trentaine de tirages photographiques concernant des sujets divers;;0,5;200
562;Archives municipales d'Avignon;121Fi;30/09/2011;Archives privées;Achat;;;"Plans numériques de la série ""Drôle de Plan""";"Lot de quatre plans numériques de la série ""Drôle de Plan"" réalisés par Olivier Huet en 2011.";;0,001;4
563;Archives municipales d'Avignon;121Fi;05/11/2010;Archives privées;Achat;;;Oeuvres numériques Mont-de-Piété;Deux morphing Administrateurs / Donateurs acquis de l'artiste Olivier Huet  à l'occasion du 400ème anniversaire du Mont-de-Piété d'Avignon.;;0,01;2
564;Archives municipales d'Avignon;121Fi;11/04/2008;Archives privées;Achat;;;Oeuvre hommage à Alexandre Poirson;Portrait en hommage à Alexandre Poirson réalisé par l'artiste plasticien Olivier Huet à partir de 132 boites de plaques photographiques assemblées avec pignments et liant acrylique.;;0,1;1
565;Archives municipales d'Avignon;121Fi;31/12/2002;Archives privées;Achat;;;"Coffret ""Un tour des remparts""";Coffret en bois contenant les 36 planches du panorama photographique des remparts d'Avignon réalisé par Olivier Huet pour l'an 2000.;;0,1;37
566;Archives municipales d'Avignon;121Fi;05/11/2010;Archives privées;Achat;;;"Livre-Objet et Visuel ""Conjonction Amicale""";Oeuvre de Olivier Huet avec son coffret utilisés pour l'exposition du cinquantième anniversaire du jumelage des villes d'Avignon et Sienne.;;0,1;2
568;Archives municipales d'Avignon;13Fi55;16/03/2011;Archives privées;Achat;;;Affiche Placard de l'Orphéon d'Avignon en 1860;Cantate de l'Orphéon d'Avignon pour la venue de Napoléon III en 1860.;;0,01;1
569;Archives municipales d'Avignon;2Fi;31/03/2011;Archives privées;Achat;;;Deux lithographies;Deux gravures XIXème siècle, portraits de Joseph Vernet et Pierre Mignard et portant chacune le fac-similé de leurs signatures autographes.;;0,01;2
570;Archives municipales d'Avignon;15Fi;20/09/2010;Archives privées;Achat;;;2 oeuvres numériques;Deux oeuvres numériques de Christophe Botton réalisées dans le cadre du 400ème anniversaire du Mont-de-Piété d'Avignon et exposées dans la cour des archives.;;0,01;2
571;Archives municipales d'Avignon;Fi;27/09/2011;Archives privées;Achat;;;Lot de 23 photographies du XIXème siècle;Divers tirages d'époque de Chateauneuf, Févrot, Chabrier de Lafongt, Bonfils et anonymes;;0,1;23
572;Archives municipales d'Avignon;128Fi;27/09/2011;Archives privées;Achat;;;Fonds Vaucluse Panorama;Lot de photographies rasemblées pour divers numéros du magazine Vaucluse Panoramma publié dans les années 1960;;0,2;100
580;Archives municipales d'Avignon;4Fi12;20/09/2011;Archives privées;Achat;;;Plan d'Avignon au XVIIème siècle;1 Plan de la ville d'Avignon de Merian, daté de 1635. Format 32x37,5.;;0,01;1
581;Archives municipales d'Avignon;2Fi125;04/11/2011;Archives privées;Achat;;;Gravure Avignon;Petite gravure anglaise d'époque romantique;;0,01;1
582;Archives municipales d'Avignon;3Fi;10/11/2011;Archives privées;Achat;;;Lot de 5 cartes;"Lot composé de : 2 cartes d'etat-Major, zone Avignon-Nîmes ; 1 carte d'Etat-Major de 1889 de la région d'Avignon ; 1 carte d'Etat-Major des voies de communication du département de Vaucluse ; 1 carte imprimée en couleurs du département de vaucluse éditée pra Yves Baud.";;0,05;5
583;Archives municipales d'Avignon;8Fi;10/11/2011;Archives privées;Achat;;;Album relié de photographies originales;Un album relié et composé de 102 photographies originales sur Avignon des années 1895-1900.;;0,04;102
584;Archives municipales d'Avignon;8Fi;10/11/2011;Archives privées;Achat;;;Album relié de photographies imprimées;Album de 16 photographies imprimées et éditées par Lévy et Neurdein, Paris.;;0,01;16
585;Archives municipales d'Avignon;1Fi18;14/11/2011;Archives privées;Achat;;;Lithographie;Portrait d'Edouard Daladier dessiné par Renoyer en 1937;;0,01;1
586;Archives municipales d'Avignon;2Fi126-127;23/12/2011;Archives privées;Achat;;;2 oeuvres;"1 fusain de J. Cusson représentant une rue d'Avignon ; 1 lithographie de Renoyer repésentant Notre-Dame des Doms et le calvaire de Baussan.";;0,01;3
590;Archives municipales d'Avignon;2Fi128-129;29/12/2011;Archives privées;Achat;;;2 gravures;Deux eau-forte originales de Joanny Drevet de 1943 : le quai de la, Ligne et la place Carnot et l'église Saint-Pirre.;;0,01;2
591;Archives municipales d'Avignon;2Fi;29/12/2011;Archives privées;Achat;;;"Revue illustrée ""la semaine mondaine""";Lot de publications du XIXème ornées de nombreuses gravures et illustrations;;0,2;150
592;Archives municipales d'Avignon;9Fi;29/12/2011;Archives privées;Achat;;;Lot de cartes postales artistiques imprimées;37 cartes postales imprimées : dessins de Charlélie Couture et textes de Bernard Sorbier.;;0,01;37
594;Archives municipales d'Avignon;1Z42;04/10/2010;Archives privées;Achat;;;Histoire manuscrite d'Avignon;Registre manuscrit intitulé Histoire d'Avignon ou recherches historiques sur cette ville, 1812 (598 pages);;0,07;1
596;Archives municipales d'Avignon;48Z130-133;26/01/2011;Archives privées;Achat;;;4 Plaquettes imprimées;4 plaquettes imprimées (1755-1798) portant sur Avignon et le Comtat-Venaissin.;;0,01;4
604;Archives municipales d'Avignon;3Fi;02/01/2012;Archives privées;Achat;;;Plans d'Avignon, 1994;Deux plans cavaliers de la ville d'Avignon réalisés en 1994 par l'atelier Dominique Duplantier. L'un est en noir et blanc, l'autre mis en couleur a été coédité avec les éditions Gallimard.;;0,02;2
622;Archives municipales d'Avignon;131Fi;13/02/2012;Archives privées;Achat;;;Lot de 63 photographies et cartes postales;"Photographies et cartes photos : inondations de 1951 et 1955 ; occupation allemande ; libération de 1944.";;0,05;63
652;Archives municipales d'Avignon;107Fi334;12/10/2012;Archives privées;Achat;;;Carte de visite photographique;Carte de visite photographique, format 13x18, réalisée par Paul Miesienski. Portrait d'alésienne ou comtadine, vers 1910.;;0,01;1
653;Archives municipales d'Avignon;1Fi21;12/10/2012;Archives privées;Achat;;;Gravure de Denise Cornu;Sérigraphie de Denise Cornu numérotée 13/20 représentant une vue générale d'Avignon.;;0,01;1
655;Archives municipales d'Avignon;3Fi29;05/09/2012;Archives privées;Achat;;;Carte du Comtat Venaissin;Carte du Comtat venaissin de la fin du XVIIIème siècle;;0,01;1
666;Archives municipales d'Avignon;Fi;21/11/2012;Archives privées;Achat;;;Photographies anciennes;Lot de photographies anciennes : inondation du 13 octobre 1896, inondation du 13 novembre 1896, fragments de sculptures au musée Calvet, tombeau du cardinal de Brancas au musée Calvet, 1 carte de visite de F. Miesienski, 1 carte de visite de Chabrier de Lafongt, 1 carte photo de groupe, 1 photographie de groupe aux halles d'Avignon en 1899.;;0,05;8
668;Archives municipales d'Avignon;Fi;21/11/2012;Archives privées;Achat;;;8 photographies;6 photographies grand format (Orléans, Laon, Aigues-Mortes, Venise, Mont Carmel, Paris). 1 photographie stéréoscopique. 1 carte photo de groupe.;;0,05;8
669;Archives municipales d'Avignon;3Fi;21/11/2012;Archives privées;Achat;;;1 carte du département de Vaucluse;Carte grand format dressée par Alexis Donnet, gravée et éditée à Paris. Appartient à la série des Atlas des départemens français. Première moitié du XIXème siècle.;;0,01;1
670;Archives municipales d'Avignon;136Fi;14/02/2012;Archives privées;Achat;;;74 Typons de l'imprimerie Pinguet;"Typons de l'imprimerie Pinguet à Avignon ayant servi à l'édition illustrée de l'ouvrage de Paul Manivet, ""Les rues d'Avignon"" en 1931.";;1;74
671;Archives municipales d'Avignon;11Fi;17/11/2012;Archives privées;Achat;;;1 photographie de Blanche Barretta;;;0,01;1
683;Archives municipales d'Avignon;8Fi;15/04/2013;Archives privées;Achat;;;Album photographique;"Album photographique ""Félix Potin"" de 38 planches (manque la 20 et la 38) et de 456 portraits de personnalités françaises et étrangères.";;0,05;456
684;Archives municipales d'Avignon;2Fi;15/04/2013;Archives privées;Achat;;;Dessin de Henri Nodet;Dessin d'Henri Nodet projetant l'aménagement de la salle brûlée et du jeu de ballon au Palais des papes en musée et bibliothèque.;;0,01;1
719;Archives municipales d'Avignon;2Fi136-138;10/09/2013;Archives privées;Achat;;;Trois lithographies;Lithographies de Magny : le pont Saint-Bénézet, les remparts, bateau sur le Rhône.;;0,01;3
733;Archives municipales d'Avignon;2Fi39;12/10/2013;Archives privées;Achat;;;Aquarelle de Jean-Baptiste Brunel;Aquarelle de Jean-Baptiste Brunel restituant la porte Saint-Lazare et son châtelet au XIVème siècle. Oeuvre exécutée en 1917.;;0,01;1
743;Archives municipales d'Avignon;Fi;18/11/2013;Archives privées;Achat;;;Lot de photographies;Lot de plaques de verre, cartes postales, cartes de visite avec deux tirages papier grand format.;;0,05;13
